"ID","together","age","years","divorced"
408,"yes",23,6,TRUE
409,"yes",27,9,FALSE
410,"no",15,2,TRUE
411,"yes",22,19,FALSE
412,"yes",23,10,TRUE
413,"yes",28,9,FALSE
414,"no",28,15,FALSE
415,"yes",18,6,TRUE
416,"no",24,10,TRUE
417,"no",36,5,FALSE
418,"no",22,4,FALSE
419,"yes",19,14,TRUE
420,"yes",24,2,FALSE
421,"yes",21,14,FALSE
422,"no",20,10,FALSE
423,"yes",18,9,TRUE
424,"yes",27,2,FALSE
425,"yes",28,5,FALSE
426,"yes",21,11,FALSE
427,"yes",25,10,FALSE
428,"yes",25,6,TRUE
429,"yes",20,13,FALSE
430,"no",17,18,FALSE
431,"no",17,4,TRUE
432,"yes",23,20,FALSE
433,"yes",30,3,TRUE
434,"yes",18,15,TRUE
435,"no",22,17,FALSE
436,"yes",28,9,FALSE
437,"no",37,5,FALSE
438,"yes",17,9,TRUE
439,"yes",23,14,FALSE
440,"yes",28,10,FALSE
441,"yes",26,7,FALSE
442,"no",21,22,FALSE
443,"no",16,27,FALSE
444,"yes",19,6,FALSE
445,"yes",23,3,FALSE
446,"yes",27,14,FALSE
447,"no",25,7,TRUE
448,"no",21,6,TRUE
449,"yes",28,9,TRUE
450,"no",29,14,FALSE
451,"yes",29,3,TRUE
452,"yes",22,5,TRUE
453,"yes",24,5,FALSE
454,"yes",33,4,FALSE
455,"yes",35,1,FALSE
456,"yes",24,5,TRUE
457,"yes",24,3,FALSE
458,"yes",21,5,FALSE
459,"yes",21,2,TRUE
460,"yes",27,1,TRUE
461,"yes",30,3,TRUE
462,"no",22,14,TRUE
463,"yes",34,11,FALSE
464,"yes",28,3,FALSE
465,"yes",24,14,FALSE
466,"yes",25,1,TRUE
467,"yes",18,5,TRUE
468,"yes",34,8,TRUE
469,"yes",23,4,FALSE
470,"yes",18,25,FALSE
471,"yes",23,9,TRUE
472,"yes",19,6,TRUE
473,"yes",29,8,FALSE
474,"yes",21,11,TRUE
475,"yes",22,5,FALSE
476,"yes",27,14,TRUE
477,"yes",20,4,TRUE
478,"no",19,6,TRUE
479,"yes",31,1,FALSE
480,"yes",22,1,FALSE
481,"yes",23,4,FALSE
482,"yes",24,2,FALSE
483,"yes",32,4,FALSE
484,"no",19,13,TRUE
485,"yes",29,6,TRUE
486,"yes",16,3,TRUE
487,"no",25,2,TRUE
488,"no",23,3,TRUE
489,"yes",27,8,FALSE
490,"yes",16,16,TRUE
491,"no",17,5,TRUE
492,"no",16,18,FALSE
493,"yes",24,12,FALSE
494,"no",22,19,FALSE
495,"yes",19,8,TRUE
496,"yes",32,11,FALSE
497,"yes",23,7,FALSE
498,"yes",20,14,FALSE
499,"yes",29,8,FALSE
500,"yes",25,8,TRUE
501,"yes",32,1,TRUE
502,"yes",24,21,FALSE
503,"yes",19,6,TRUE
504,"yes",18,4,TRUE
505,"no",27,13,FALSE
506,"yes",17,8,TRUE
507,"yes",21,15,FALSE
508,"yes",27,6,FALSE
510,"yes",24,7,FALSE
511,"no",24,3,TRUE
512,"yes",21,3,TRUE
513,"yes",24,7,FALSE
514,"yes",19,2,TRUE
515,"yes",36,1,FALSE
516,"no",28,10,TRUE
517,"no",20,17,TRUE
518,"yes",20,9,TRUE
519,"yes",33,12,FALSE
520,"yes",22,14,FALSE
521,"no",15,9,TRUE
522,"yes",23,2,TRUE
523,"yes",17,8,TRUE
524,"yes",21,11,FALSE
525,"yes",27,6,TRUE
526,"no",22,22,FALSE
527,"no",24,10,TRUE
528,"no",23,15,TRUE
529,"yes",18,1,TRUE
